timestamp,exch_b_1,size_b_1,bid_1,ask_1,size_a_1,exch_a_1,exch_b_2,size_b_2,bid_2,ask_2,size_a_2,exch_a_2,exch_b_3,size_b_3,bid_3,ask_3,size_a_3,exch_a_3,exch_b_4,size_b_4,bid_4,ask_4,size_a_4,exch_a_4,exch_b_5,size_b_5,bid_5,ask_5,size_a_5,exch_a_5,exch_b_6,size_b_6,bid_6,ask_6,size_a_6,exch_a_6,exch_b_7,size_b_7,bid_7,ask_7,size_a_7,exch_a_7,exch_b_8,size_b_8,bid_8,ask_8,size_a_8,exch_a_8,exch_b_9,size_b_9,bid_9,ask_9,size_a_9,exch_a_9,exch_b_10,size_b_10,bid_10,ask_10,size_a_10,exch_a_10,exch_b_11,size_b_11,bid_11,ask_11,size_a_11,exch_a_11
2025-12-08 10:02:52,XNMS,40,445.01,445.09,120,XNMS,EDGX,40.0,445.00,445.11,160,BATS,ARCX,2,444.81,445.11,40,EDGX,ARCX,2,444.77,445.12,103,ARCX,ARCX,9,444.75,445.25,100,ARCX,ARCX,B,444.74,445.27,7,ARCX,ARCX,2,444.73,445.29,9,ARCX,ARCX,9,444.69,445.36,9,ARCX,ARCX,9,444.68,445.39,5,ARCX,ARCX,2,444.66,445.43,9,ARCX,BATS,40,444.64,445.47,1,ARCX
2025-12-08 10:03:01,ARCX,18,444.96,445.04,160,EDGX,IEXG,160.0,444.96,445.04,101,ARCX,XNMS,160,444.95,445.06,80,XNMS,EDGX,40,444.95,445.06,120,BATS,ARCX,1,444.90,445.11,6,ARCX,ARCX,2,444.85,445.21,7,ARCX,ARCX,2,444.83,445.29,9,ARCX,ARCX,2,444.8,445.36,9,ARCX,ARCX,2,444.77,445.39,5,ARCX,ARCX,9,444.75,445.43,9,ARCX,ARCX,15,444.74,445.47,1,ARCX
2025-12-08 10:03:11,ARCX,50,444.73,444.79,120,XNMS,XNMS,40.0,444.73,444.84,40,EDGX,EDGX,80,444.72,444.92,40,BATS,BATS,160,444.71,445.03,5,ARCX,XASE,120,444.55,445.05,7,ARCX,ARCX,62,444.54,445.06,6,ARCX,XNYS,BO,444.51,445.08,9,ARCX,ARCX,1,444.5,445.1,10,ARCX,ARCX,B,444.49,445.15,9,ARCX,ARCX,11,444.47,445.2,200,XCME,ARCX,1,444.45,445.22,9,ARCX
2025-12-08 10:03:19,ARCX,6,444.87,444.96,40,XNMS,XNMS,40.0,444.87,444.97,40,EDGX,BATS,40,444.87,444.99,9,ARCX,ARCX,5,444.84,445.11,12D,ARCX,EDGX ARCX,40 1,444.84 444.83,445.14 445.22,7 9,ARCX ARCX,IEXG,80,444.83,445.29,9,ARCX,ARCX,2,444.7,445.31,80,BATS,ARCX,9,444.68,445.36,9,ARCX,ARCX,7,444.65,445.43,9,ARCX,ARCX,10,444.61,445.47,1,ARCX,,,,,,
2025-12-08 10:03:25,XNMS,40,444.71,444.81,80,XNMS,ARCX,9.0,444.70,444.84,26,ARCX,EDGX,40,444.70,444.84,80,EDGX,IEXG,60,444.69,444.88,160,BATS,BATS XASE,40 120,444.64 444.55,445.02 445.03,12D 197,ARCX ARCX,ARCX,62,444.54,445.05,7,ARCX,XNYS,80,444.51,445.06,120,ARCX,ARCX,1,444.5,445.08,10,ARCX,ARCX,11,444.47,445.15,9,ARCX,ARCX,1,444.45,445.2,200,XCME,,,,,,
2025-12-08 10:03:32,ARCX,9,444.47,444.54,80,BATS,XNMS,40.0,444.48,444.54,240,XNMS,ARCX,1,444.45,444.6,40,EDGX,ARCX,1,444.44,444.70,120,ARCX,IEXG EDGX,80 80,444.44 444.44,444.75 444.76,12D 12D,ARCX ARCX,ARCX,5,444.37,444.78,1,ARCX,ARCX,3,444.33,444.85,3,ARCX,ARCX,3,444.27,444.87,9,ARCX,ARCX,16,444.26,444.88,7,ARCX,ARCX,1,444.23,444.9,120,ARCX,,,,,,
2025-12-08 10:03:40,XNMS,40,444.65,444.74,67,ARCX,BATS,160.0,444.57,444.74,40,EDGX,ARCX,10,444.55,444.74,120,XNMS,ARCX,21,444.50,444.78,8,ARCX,IEXG,120,444.49,444.85,3,ARCX,ARCX,2,444.49,444.88,2,ARCX,ARCX,13,444.47,444.89,100,ARCX,EDGX,80,444.45,444.91,2,ARCX,ARCX,B,444.45,444.92,7,ARCX,ARCX,1,444.44,444.94,2,ARCX,ARCX,2,444.43,444.97,2,ARCX
2025-12-08 10:03:48,BATS,40,444.91,444.99,80,XNMS,XNMS,80.0,444.90,445.0,63,ARCX,ARCX,7,444.89,445.0,160,BATS,IEXG,40,444.87,445.00,80,EDGX,EDGX,40,444.77,445.00,40,IEXG,ARCX,2,444.75,445.08,2,ARCX,ARCX,2,444.72,445.1,2,ARCX,ARCX,2,444.69,445.12,2,ARCX,ARCX,10,444.68,445.14,7,ARCX,ARCX,2,444.66,445.15,5,ARCX,ARCX,2,444.63,445.17,2,ARCX
2025-12-08 10:03:54,EDGX,40,444.8,444.89,40,EDGX,IEXG,40.0,444.80,444.89,40,XNMS,XNMS,60,444.80,444.95,160,ARCX,ARCX,2,444.67,444.98,2,ARCX,ARCX ARCX,44 2,444.65 444.64,445.00 445.00,7 80,ARCX BATS,ARCX,2,444.61,445.01,2,ARCX,ARCX,1,444.6,445.03,2,ARCX,ARCX,2,444.59,445.05,2,ARCX,BATS,40,444.59,445.06,7,ARCX,ARCX,7,444.58,445.07,2,ARCX,,,,,,
2025-12-08 10:04:02,XNMS,40,444.98,445.05,40,XNMS,BATS,200.0,444.97,445.06,40,BATS,EDGX,40,444.97,445.06,200,EDGX,IEXG,40,444.96,445.13,2,ARCX,ARCX ARCX,100 2,444.88 444.84,445.15 445.17,5 2,ARCX ARCX,ARCX,2,444.81,445.19,2,ARCX,ARCX,6,444.78,445.2,80,BATY,ARCX,2,444.75,445.21,2,ARCX,ARCX,2,444.72,445.22,7,ARCX,ARCX,3,444.71,445.23,2,ARCX,,,,,,
